ID,Exchange,Instrument,Market Active?,REST API root,Search helper
231,796,btcusd-weekly-futures,FALSE,https://api.cryptowat.ch/markets/796/btcusd-weekly-futures,796 btcusd-weekly-futures
232,796,ltcusd-weekly-futures,FALSE,https://api.cryptowat.ch/markets/796/ltcusd-weekly-futures,796 ltcusd-weekly-futures
1840,binance,adabnb,true,https://api.cryptowat.ch/markets/binance/adabnb,binance adabnb
628,binance,adabtc,true,https://api.cryptowat.ch/markets/binance/adabtc,binance adabtc
61468,binance,adabusd,true,https://api.cryptowat.ch/markets/binance/adabusd,binance adabusd
629,binance,adaeth,true,https://api.cryptowat.ch/markets/binance/adaeth,binance adaeth
59428,binance,adapax,true,https://api.cryptowat.ch/markets/binance/adapax,binance adapax
7557,binance,adatusd,true,https://api.cryptowat.ch/markets/binance/adatusd,binance adatusd
59429,binance,adausdc,true,https://api.cryptowat.ch/markets/binance/adausdc,binance adausdc
1096,binance,adausdt,true,https://api.cryptowat.ch/markets/binance/adausdt,binance adausdt
1844,binance,adxbnb,true,https://api.cryptowat.ch/markets/binance/adxbnb,binance adxbnb
1090,binance,adxbtc,true,https://api.cryptowat.ch/markets/binance/adxbtc,binance adxbtc
1066,binance,adxeth,true,https://api.cryptowat.ch/markets/binance/adxeth,binance adxeth
1847,binance,aebnb,true,https://api.cryptowat.ch/markets/binance/aebnb,binance aebnb
1793,binance,aebtc,true,https://api.cryptowat.ch/markets/binance/aebtc,binance aebtc
1849,binance,aeeth,true,https://api.cryptowat.ch/markets/binance/aeeth,binance aeeth
1850,binance,agibnb,true,https://api.cryptowat.ch/markets/binance/agibnb,binance agibnb
1271,binance,agibtc,true,https://api.cryptowat.ch/markets/binance/agibtc,binance agibtc
1272,binance,agieth,true,https://api.cryptowat.ch/markets/binance/agieth,binance agieth
2119,binance,aionbnb,true,https://api.cryptowat.ch/markets/binance/aionbnb,binance aionbnb
1853,binance,aionbtc,true,https://api.cryptowat.ch/markets/binance/aionbtc,binance aionbtc
61903,binance,aionbusd,true,https://api.cryptowat.ch/markets/binance/aionbusd,binance aionbusd
